kode,nama,developer,kecamatan,subsidi,komersil
LMJ0620112024T001,The Hasanah Residence 4 (Cluster Adara Park),PT BINTANG INDONESIA SENTOSA,Kunir,120,0
LMJ0520062024T001,THE ALAFASY,PT NISCALA MANDIRI ALAFASY,Tempeh,161,10
LMJ0620072024T001,MUTIARA KUNIR TAHAP 3,PT ALBAROKAH MAKMUR JAYA,Kunir,18,0
LMJ0920052024T001,Graha Adhi 6,PT GRAHA DUTA BANGSA,Tekung,2,0
LMJ1010102024T001,PERUMAHAN HR RESIDENCE,PT NABAWI INDAH PERMAI,Lumajang,7,0
LMJ1010092024T001,GRAND CLARYSA TAHAP 4,PT EAST KEDATON JAYALAND,Lumajang,1,3
LMJ1520072024T001,PERUM SUMBEREJO ASRI,PT RONI LAILA ABADI,Sukodono,47,8
LMJ1010042023T001,Hasanah City,PT BINTANG INDONESIA SENTOSA,Lumajang,0,20
LMJ1520052023T001,Hasanah Park (hasanah view tahap 2),PT BINTANG INDONESIA SENTOSA,Sukodono,0,51
LMJ1010092023T004,"THE GRAND ZAMZAM RESIDENCE ""BOULEVARD CLUSTER"" TAHAP 4",PT GRAND ZAMZAM INDONESIA,Lumajang,0,8
LMJ0420082023T001,GRAND ZAMZAM PLATINUM,PT GRAND ZAMZAM INDONESIA,Pasirian,0,8
LMJ1020012023T001,THE GRAND ZAMZAM IMPERIAL TAHAP 2,PT GRAND ZAMZAM INDONESIA,Lumajang,0,67
LMJ1010092023T001,"THE GRAND ZAMZAM RESIDENCE ""BOULEVARD CLUSTER"" TAHAP 3",PT GRAND ZAMZAM INDONESIA,Lumajang,0,63
LMJ2120082023T001,THE GRAND ZAMZAM IMPERIAL,PT GRAND ZAMZAM INDONESIA,Sumbersuko,0,4
LMJ1020012023T002,THE GRAND ZAMZAM IMPERIAL TAHAP 3,PT GRAND ZAMZAM INDONESIA,Lumajang,0,28
LMJ1010092023T002,THE GRAND ZAMZAM RESIDENCE Tahap 2 'BOULEVARD CLUSTER',PT GRAND ZAMZAM INDONESIA,Lumajang,0,10
LMJ1010092023T003,THE GRAND ZAMZAM RESIDENCE,PT GRAND ZAMZAM INDONESIA,Lumajang,0,1
LMJ0620112023T004,ROYAL REGENCY DOROGOWOK,GRAHA MAKMUR PROPERTY,Kunir,18,6
LMJ0620102023T002,Grand Lembayung Indah,PT SYAHFALAH GRIYA AQUILA,Kunir,5,0
